,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour18,0.032432673,0.004759604,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.059141933,0.013326891,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.076312171,0.018562455,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.545306513,0.545306513,0.545306513,0.085039374,0.137332969,0.205236235
Hour19,0.032032678,0.004388683,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.05841253,0.012288311,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.075371007,0.017115862,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.539238069,0.539238069,0.539238069,0.084268458,0.135564987,0.202848478
Hour20,0.029388349,0.003816664,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.053590518,0.010686659,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.069149056,0.01488499,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.443907606,0.443907606,0.443907606,0.061913272,0.103195666,0.150251012
Hour21,0.028100641,0.003698384,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.051242346,0.010355476,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.066119156,0.014423699,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.435143739,0.435143739,0.435143739,0.060507285,0.100516311,0.146759822
Hour22,0.009768193,0.000930003,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812588,0.002604008,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022983984,0.003627012,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.225566592,0.225566592,0.225566592,0.020267616,0.033389426,0.048683318
Hour23,0.008387929,0.000717469,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295635,0.002008913,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736303,0.002798128,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.196803455,0.196803455,0.196803455,0.013890107,0.023790962,0.033570593
Hour24,0.00804619,0.001554505,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0.004352614,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.00606257,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.203157267,0.203157267,0.203157267,0.014385405,0.025511493,0.036030942
Hour25,0.00804619,4.97012E-05,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0.000139163,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.000193835,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.188102905,0.188102905,0.188102905,0.012880601,0.021298042,0.030162207
Hour26,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.187599572,0.187599572,0.187599572,0.0128309,0.021158878,0.029968372
Hour27,0.00804619,0.000149104,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0.00041749,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.000581504,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.189084286,0.189084286,0.189084286,0.012980003,0.021576368,0.030549876
