,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT,,,,,,,,,,,
Hour14,0.037741512,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068822757,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088803558,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.626788375,0.626788375,0.626788375,0.118099005,0.168917178,0.256054798,,79.9232022,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour15,0.037653158,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068661642,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088595667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.626262325,0.626262325,0.626262325,0.118010651,0.168756062,0.255846907,,79.7361003,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour16,0.037639431,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068636609,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088563366,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.626175252,0.626175252,0.626175252,0.117996923,0.168731029,0.255814606,,79.7070294,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour17,0.039005123,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.071126989,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.091776759,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.634202413,0.634202413,0.634202413,0.119362615,0.171221409,0.259028,,82.5990831,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour18,0.034820943,0,0,0,0.007177065,0.00548248,0,0,0,0.049840727,0.063497013,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.08193163,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.549774394,0.549774394,0.549774394,0.097321214,0.141348229,0.212015927,,73.738467,0,0,0,26.9139924,22.8768939,22.4283276,0,0,44.8566543
Hour19,0.028835192,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.052581821,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.06784751,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.4547489,0.4547489,0.4547489,0.073478243,0.108189831,0.160764865,,61.062759,0,0,0,19.2242799,16.3406385,16.020234,0,0,32.0404671
Hour20,0.027189174,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.049580258,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.063974527,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.445060119,0.445060119,0.445060119,0.071832225,0.105188269,0.156891881,,57.5770743,0,0,0,19.2242799,16.3406385,16.020234,0,0,32.0404671
Hour21,0.021633071,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.039448542,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.050901344,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.35256197,0.35256197,0.35256197,0.048418902,0.072813349,0.106651758,,45.8112096,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour22,0.019314281,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.03522016,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.045445368,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.338915708,0.338915708,0.338915708,0.046100112,0.068584967,0.101195782,,40.9008312,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour23,0.009768196,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.22294707,0.22294707,0.22294707,0.018696807,0.028934195,0.041567462,,20.6855919,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
