,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour18,0.031921128,0.006145507,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.058209116,0.01720742,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.075108537,0.023967477,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.542197817,0.542197817,0.542197817,0.085913733,0.140280681,0.209437623
Hour19,0.032670556,0.00506291,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.059575719,0.014176149,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.076871896,0.019745351,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.535773926,0.535773926,0.535773926,0.085580564,0.138616014,0.206978855
Hour20,0.029072054,0.004337055,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.053013745,0.012143754,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.068404832,0.016914515,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.433292316,0.433292316,0.433292316,0.062117368,0.104075987,0.151536314
Hour21,0.028546054,0.004129862,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.052054568,0.011563613,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.067167185,0.016106461,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.428119943,0.428119943,0.428119943,0.061384175,0.10253667,0.149490613
Hour22,0.011559073,0.001828384,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.021078309,0.005119475,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.027197819,0.007130697,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.231126345,0.231126345,0.231126345,0.022956877,0.039170614,0.056400838
Hour23,0.009221538,0.002639091,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.016815745,0.007389454,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.021697736,0.010292454,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.206964615,0.206964615,0.206964615,0.016645338,0.030691614,0.043026351
Hour24,0.010377054,0.001400282,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.018922863,0.00392079,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.024416598,0.0054611,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.201367361,0.201367361,0.201367361,0.016562046,0.029330068,0.040913859
Hour25,0.008046189,0.001794372,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.005024241,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932209,0.00699805,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.191590964,0.191590964,0.191590964,0.014625271,0.026183118,0.03696642
Hour26,0.008046189,0.001188404,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.003327531,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932209,0.004634776,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.185524966,0.185524966,0.185524966,0.014019303,0.024486409,0.034603147
Hour27,0.008646343,0.001320464,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015766861,0.003697298,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.020344337,0.005149808,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.190369557,0.190369557,0.190369557,0.014751517,0.025950574,0.036530306
