Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,Total Uncontrollable load factor,Total Load Realtime factors,Forecasted total factors
2,22,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193861151,0.222795347,0.209732431
2,23,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178861161,0.199717602,0.206557098
3,0,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177467781,0.197701051,0.222667567
3,1,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177461459,0.197694729,0.177642671
3,2,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177455136,0.197688406,0.202626812
3,3,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177448815,0.197682085,0.20997215
3,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178829552,0.199685993,0.220271318
3,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193817049,0.222751313,0.206552867
3,6,0.020048813,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.19878797,0.229958386,0.222785755
3,7,0.025368312,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.248187491,0.30692061,0.344556823
3,8,0.055507665,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.427962539,0.583564624,0.509154566
3,9,0.060408391,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.438864284,0.599367096,0.578597898
3,10,0.064993037,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.449062497,0.614149954,0.696694465
3,11,0.068567368,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457011945,0.625673733,0.546211789
3,12,0.066368086,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.452110447,0.618572953,0.645801103
3,13,0.069436315,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.45893341,0.628464146,0.6917843
3,14,0.069920922,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.460005728,0.63002107,0.639364668
3,15,0.070249395,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.460730524,0.63107434,0.666895297
3,16,0.072746692,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.466282703,0.639123816,0.552867388
3,17,0.066156263,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.414041692,0.558049172,0.479645315
3,18,0.050148203,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.340838859,0.446595072,0.504998697
3,19,0.04232188,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.323412657,0.421342548,0.44482433
3,20,0.03477456,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.269041795,0.337181163,0.309554666
3,21,0.030763001,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.260106519,0.324234328,0.312584411
3,22,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193709426,0.222643622,0.235383994
3,23,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178709437,0.199565878,0.184825589
4,0,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177316056,0.197549326,0.2233932
4,1,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177309734,0.197543004,0.217246527
4,2,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177303413,0.197536683,0.186362375
4,3,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.17729709,0.19753036,0.174391281
4,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178677828,0.199534269,0.190874708
4,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193665326,0.22259959,0.205041744
4,6,0.020057162,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.198654827,0.229833592,0.221129706
4,7,0.025367375,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.248033681,0.306765863,0.302619141
4,8,0.053318815,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.422938859,0.576352095,0.503245469
4,9,0.05622228,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.429395088,0.585711789,0.633161605
4,10,0.057675458,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.43262326,0.590393139,0.647501092
4,11,0.059485806,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.436646421,0.596226648,0.543590238
4,12,0.061959601,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.442146288,0.604200309,0.557943195
4,13,0.067572513,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.454633221,0.622300154,0.628671179
4,14,0.068120429,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.455846453,0.624061302,0.614218366
4,15,0.068148721,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.455903106,0.624146247,0.667010687
4,16,0.070273656,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.460626477,0.630994554,0.663702021
4,17,0.063642949,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.408295817,0.549789981,0.518429562
4,18,0.050015661,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.340392121,0.446015793,0.457903222
4,19,0.040524897,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.319261194,0.415394102,0.394651652
4,20,0.031272329,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.261094782,0.325731919,0.315233846
4,21,0.029769561,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.257743589,0.320877958,0.365766194
4,22,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193557702,0.222491898,0.240175978
4,23,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178557712,0.199414153,0.205237104
5,0,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177164331,0.197397601,0.223027357
5,1,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.17715801,0.19739128,0.207890023
5,2,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177151688,0.197384958,0.172088824
5,3,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177145367,0.197378637,0.214944913
5,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178526103,0.199382544,0.173009021
5,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.1935136,0.222447864,0.244396879
5,6,0.019600804,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.197487338,0.228209745,0.25526749
5,7,0.025896838,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.249060438,0.308322083,0.292808299
5,8,0.054713303,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.425890995,0.580698718,0.654556887
5,9,0.061768173,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.441587447,0.603450041,0.673666878
5,10,0.066022685,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.451050846,0.617167951,0.647846388
5,11,0.067554711,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.454454518,0.622103649,0.581961512
5,12,0.065691692,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.450301476,0.616087589,0.610483192
5,13,0.068646217,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.456871355,0.625611992,0.65269182
5,14,0.068288779,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.456069446,0.624452645,0.601802259
5,15,0.067811975,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.455001849,0.622908244,0.700102172
5,16,0.070463493,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.460897295,0.631455209,0.659998346
5,17,0.064938681,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.411028141,0.553818038,0.48243312
5,18,0.047709222,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.33510671,0.438423942,0.438573952
5,19,0.036897179,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.311034874,0.403540064,0.376758875
5,20,0.029274656,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.256496623,0.319136087,0.310323136
5,21,0.028028687,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.253717016,0.31511051,0.277965475
5,22,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193405977,0.222340173,0.24767242
5,23,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178405987,0.199262428,0.172527174
6,0,0.012131247,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171356341,0.189048389,0.170568573
6,1,0.012131247,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171350018,0.189042066,0.180561086
6,2,0.012131247,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171343697,0.189035745,0.203667695
6,3,0.012131247,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171337375,0.189029423,0.173122868
6,4,0.012754418,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.172718111,0.191033331,0.197806123
6,5,0.014000829,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.17548606,0.19504769,0.204211835
6,6,0.019561178,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.197247415,0.227930196,0.205139713
6,7,0.021692094,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.2019841,0.234797797,0.247754491
6,8,0.041937351,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.322171135,0.419716497,0.438300326
6,9,0.047491597,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.334527491,0.437627099,0.373320616
6,10,0.046685966,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.33272799,0.435021966,0.388339993
6,11,0.047648623,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.334864356,0.438120989,0.477331427
6,12,0.048961668,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.337780619,0.442350297,0.377487755
6,13,0.049791319,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.33962094,0.445020271,0.494912769
6,14,0.037479788,0,0,0,0.003332209,0.002670039,0,0,0,0.010680156,0.246471614,0.300633805,0.2983097
6,15,0.037577876,0,0,0,0.003332209,0.002670039,0,0,0,0.010680156,0.246683618,0.300943898,0.344281807
6,16,0.039995487,0,0,0,0.003332209,0.002670039,0,0,0,0.010680156,0.252058429,0.30873632,0.326213339
6,17,0.037816829,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.228420004,0.271797635,0.237916819
6,18,0.017739834,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.183726176,0.207026811,0.182642154
6,19,0.016493492,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.180945737,0.20300003,0.194663233
6,20,0.016493492,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.180939416,0.202993709,0.222793534
6,21,0.015247195,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178159077,0.198967073,0.204164099
6,22,0.014000761,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.175378436,0.194939999,0.168370078
6,23,0.012754418,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.172597997,0.190913216,0.208567513
7,0,0.012131224,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171204565,0.18889659,0.182577925
7,1,0.012131224,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171198244,0.188890269,0.166885608
7,2,0.012131224,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171191921,0.188883947,0.21090604
7,3,0.012754396,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.172572659,0.190887856,0.215829968
7,4,0.014000806,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.175340606,0.194902214,0.20655888
7,5,0.016493423,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.180882366,0.202936591,0.176425549
7,6,0.015561693,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178802194,0.199924688,0.191284445
7,7,0.015126078,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177826277,0.198513157,0.212877263
7,8,0.013256564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.173658779,0.192476145,0.199105946
7,9,0.010763879,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.168104224,0.184428904,0.18913091
