Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,
2,21,0.043386345,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.234479667,0.333616426,0.333297655,,211.0317003
2,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181227885,0.222795347,0.229377015,,163.1050965
2,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170689557,0.199717602,0.205151744,,153.6206013
3,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169477098,0.197701051,0.223897144,,152.5293882
3,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169470776,0.197694729,0.187691742,,152.5236984
3,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169464453,0.197688406,0.215134962,,152.5180077
3,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169458132,0.197682085,0.226359379,,152.5123188
3,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170657948,0.199685993,0.206711782,,153.5921532
3,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181183763,0.222751313,0.216316272,,163.0653867
3,6,0.025869437,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185505478,0.229958386,0.256587238,,166.9549302
3,7,0.032733306,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.21843689,0.30692061,0.276895047,,196.593201
3,8,0.071622793,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.34469059,0.583564624,0.667495651,,310.221531
3,9,0.077946311,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.354169544,0.599367096,0.509659226,,318.7525896
3,10,0.083861983,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.36303673,0.614149954,0.523386641,,326.733057
3,11,0.088474023,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369948469,0.625673733,0.537104082,,332.9536221
3,12,0.08563624,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.365685472,0.618572953,0.708133363,,329.1169248
3,13,0.089595246,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.371617659,0.628464146,0.613728298,,334.4558931
3,14,0.090220544,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.372549285,0.63002107,0.692501685,,335.2943565
3,15,0.090644381,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.373178718,0.63107434,0.703784565,,335.8608462
3,16,0.0938667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.378005875,0.639123816,0.55029996,,340.2052875
3,17,0.085362921,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.342601953,0.558049172,0.526877626,,308.3417577
3,18,0.064707359,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288970358,0.446595072,0.413418714,,260.0733222
3,19,0.054608878,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.273816315,0.421342548,0.371471975,,246.4346835
3,20,0.044870401,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.236560348,0.337181163,0.353484424,,212.9043132
3,21,0.039694195,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.228789719,0.324234328,0.319657115,,205.9107471
3,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.18107616,0.222643622,0.251639897,,162.968544
3,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170537833,0.199565878,0.229471283,,153.4840497
4,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169325373,0.197549326,0.176641773,,152.3928357
4,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169319051,0.197543004,0.223017129,,152.3871459
4,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.16931273,0.197536683,0.174667294,,152.381457
