Name,Priority,Microgrid,Building,Consumption
CT,1,Banshee_1,1,1500
CT,6,Banshee_1,2,1500
CT,5,Banshee_1,3,1500
CT,2,Banshee_1,4,1500
CT,4,Banshee_1,5,1500
CT,3,Banshee_1,6,1500
CT,9,Banshee_1,7,1500
CT,8,Banshee_1,8,1500
CT,7,Banshee_1,9,1500
CT,10,Banshee_1,10,1500
