Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Default Values, Notes
Critical_13,Critical_13,W,0.00-2000.00,>f,TRUE,222,,Reading 0.00-2000.0 W
Critical_14,Critical_14,W,0.00-2000.00,>f,TRUE,224,,Reading 0.00-2000.0 W
Critical_15,Critical_15,W,0.00-2000.00,>f,TRUE,226,,Reading 0.00-2000.0 W
Critical_16,Critical_16,W,0.00-2000.00,>f,TRUE,228,,Reading 0.00-2000.0 W
Critical_17,Critical_17,W,0.00-2000.00,>f,TRUE,230,,Reading 0.00-2000.0 W
Critical_18,Critical_18,W,0.00-2000.00,>f,TRUE,232,,Reading 0.00-2000.0 W
Critical_19,Critical_19,W,0.00-2000.00,>f,TRUE,234,,Reading 0.00-2000.0 W
Critical_20,Critical_20,W,0.00-2000.00,>f,TRUE,236,,Reading 0.00-2000.0 W
Critical_21,Critical_21,W,0.00-2000.00,>f,TRUE,238,,Reading 0.00-2000.0 W
Critical_22,Critical_22,W,0.00-2000.00,>f,TRUE,240,,Reading 0.00-2000.0 W
Critical_23,Critical_23,W,0.00-2000.00,>f,TRUE,242,,Reading 0.00-2000.0 W
Critical_24,Critical_24,W,0.00-2000.00,>f,TRUE,244,,Reading 0.00-2000.0 W
Priority_1,Priority_1,W,0.00-2000.00,>f,TRUE,246,,Reading 0.00-2000.0 W
Priority_2,Priority_2,W,0.00-2000.00,>f,TRUE,248,,Reading 0.00-2000.0 W
Priority_3,Priority_3,W,0.00-2000.00,>f,TRUE,250,,Reading 0.00-2000.0 W
Priority_4,Priority_4,W,0.00-2000.00,>f,TRUE,252,,Reading 0.00-2000.0 W
Priority_5,Priority_5,W,0.00-2000.00,>f,TRUE,254,,Reading 0.00-2000.0 W
Priority_6,Priority_6,W,0.00-2000.00,>f,TRUE,256,,Reading 0.00-2000.0 W
Priority_7,Priority_7,W,0.00-2000.00,>f,TRUE,258,,Reading 0.00-2000.0 W
Priority_8,Priority_8,W,0.00-2000.00,>f,TRUE,260,,Reading 0.00-2000.0 W
Priority_9,Priority_9,W,0.00-2000.00,>f,TRUE,262,,Reading 0.00-2000.0 W
Priority_10,Priority_10,W,0.00-2000.00,>f,TRUE,264,,Reading 0.00-2000.0 W
Priority_11,Priority_11,W,0.00-2000.00,>f,TRUE,266,,Reading 0.00-2000.0 W
Priority_12,Priority_12,W,0.00-2000.00,>f,TRUE,268,,Reading 0.00-2000.0 W
Priority_13,Priority_13,W,0.00-2000.00,>f,TRUE,270,,Reading 0.00-2000.0 W
Priority_14,Priority_14,W,0.00-2000.00,>f,TRUE,272,,Reading 0.00-2000.0 W
