Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
L5P,L5P,Kw,0.00-2000.00,>h,TRUE,198,CO2 Reading 0.00-2000.0
L5Q,L5Q,Kw,0.00-2000.00,>h,TRUE,199,CO2 Reading 0.00-2000.0
L5Vrms,L5Vrms,Kw,0.00-2000.00,>h,TRUE,200,CO2 Reading 0.00-2000.0
L5Freq,L5Freq,Kw,0.00-2000.00,>h,TRUE,201,CO2 Reading 0.00-2000.0
L5PT1,L5PT1,Kw,0.00-2000.00,>h,TRUE,202,CO2 Reading 0.00-2000.0
L5PT2,L5PT2,Kw,0.00-2000.00,>h,TRUE,203,CO2 Reading 0.00-2000.0
L5PT3,L5PT3,Kw,0.00-2000.00,>h,TRUE,204,CO2 Reading 0.00-2000.0
L5PT4,L5PT4,Kw,0.00-2000.00,>h,TRUE,205,CO2 Reading 0.00-2000.0
L5PT5,L5PT5,Kw,0.00-2000.00,>h,TRUE,206,CO2 Reading 0.00-2000.0
AheadL5PT1,AheadL5PT1,Kw,0.00-2000.00,>h,TRUE,207,CO2 Reading 0.00-2000.0
AheadL5PT2,AheadL5PT2,Kw,0.00-2000.00,>h,TRUE,208,CO2 Reading 0.00-2000.0
AheadL5PT3,AheadL5PT3,Kw,0.00-2000.00,>h,TRUE,209,CO2 Reading 0.00-2000.0
AheadL5PT4,AheadL5PT4,Kw,0.00-2000.00,>h,TRUE,210,CO2 Reading 0.00-2000.0
AheadL5PT5,AheadL5PT5,Kw,0.00-2000.00,>h,TRUE,211,CO2 Reading 0.00-2000.0
CMDL5T1,CMDL5T1,Kw,0.00-2000.00,>h,TRUE,212,CO2 Reading 0.00-2000.0
CMDL5T2,CMDL5T2,Kw,0.00-2000.00,>h,TRUE,213,CO2 Reading 0.00-2000.0
CMDL5T3,CMDL5T3,Kw,0.00-2000.00,>h,TRUE,214,CO2 Reading 0.00-2000.0
CMDL5T4,CMDL5T4,Kw,0.00-2000.00,>h,TRUE,215,CO2 Reading 0.00-2000.0
CMDL5T5,CMDL5T5,Kw,0.00-2000.00,>h,TRUE,216,CO2 Reading 0.00-2000.0
SL5T1,SL5T1,Kw,0.00-2000.00,>h,TRUE,217,CO2 Reading 0.00-2000.0
SL5T2,SL5T2,Kw,0.00-2000.00,>h,TRUE,218,CO2 Reading 0.00-2000.0
SL5T3,SL5T3,Kw,0.00-2000.00,>h,TRUE,219,CO2 Reading 0.00-2000.0
SL5T4,SL5T4,Kw,0.00-2000.00,>h,TRUE,220,CO2 Reading 0.00-2000.0
SL5T5,SL5T5,Kw,0.00-2000.00,>h,TRUE,221,CO2 Reading 0.00-2000.0
