Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,,
2,15,0.075733708,0.027365482,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.563263706,0.783118359,0.823450104,,,
2,16,0.069004914,0.023937602,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.491362423,0.675114744,0.620454926,,,
2,17,0.058209116,0.01720742,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.401917136,0.542197817,0.597150728,,,
2,18,0.059575719,0.014176149,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.397157912,0.535773926,0.595890822,,,
2,19,0.053013745,0.012143754,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.329216329,0.433292316,0.397916552,,,
2,20,0.052054568,0.011563613,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.325583274,0.428119943,0.37479628,,,
2,21,0.021078309,0.005119475,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.191955732,0.231126345,0.216905607,,,
2,22,0.016815745,0.007389454,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.176273,0.206964615,0.221436228,,,
2,23,0.018922863,0.00392079,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.172037293,0.201367361,0.195524925,,,
3,0,0.014672462,0.005024241,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165407847,0.191590964,0.168693151,,,
3,1,0.014672462,0.003327531,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.161038558,0.185524966,0.167144748,,,
3,2,0.015766861,0.003697298,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.164418983,0.190369557,0.175565932,,,
3,3,0.017444761,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.158640006,0.182571181,0.19751718,,,
3,4,0.017812651,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171478391,0.202263872,0.183083999,,,
3,5,0.041689692,0.01342718,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.259144774,0.327234474,0.353494758,,,
3,6,0.046841152,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.310678048,0.406742098,0.372994493,,,
3,7,0.076428183,0.013166781,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.528197376,0.734547803,0.819899234,,,
3,8,0.074285443,0.016602835,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.532257298,0.739901039,0.807133165,,,
3,9,0.071388764,0.019131347,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.532305418,0.739580992,0.762063827,,,
3,10,0.071428916,0.021052222,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.53732786,0.746564461,0.682502441,,,
3,11,0.068954564,0.019146945,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526914827,0.7317718,0.826819381,,,
